Date,Biomass,Biomass.1,Fossil Gas,Fossil Gas.1,Fossil Hard coal,Fossil Hard coal.1,Hydro Run-of-river and poundage,Hydro Run-of-river and poundage.1,Nuclear,Nuclear.1,Other,Other.1,Solar,Solar.1,Waste,Waste.1,Wind Offshore,Wind Offshore.1,Wind Onshore,Wind Onshore.1
2015-04-30,0.0,0.0,2748476.0,35593.0,3177153.0,2101.0,0.0,0.0,634364.0,0.0,6389228.0,876934.0,0.0,0.0,161832.0,274.0,41204.0,71.0,90348.0,117.0
2015-05-31,225.0,0.0,5307313.0,90522.0,6945958.0,3569.0,0.0,0.0,527981.0,6272.0,11261442.0,2014865.0,4.0,3.0,354907.0,2535.0,137363.0,184.0,324554.0,258.0
2015-06-30,0.0,0.0,6267795.0,68783.0,7601941.0,45085.0,0.0,0.0,916249.0,9133.0,8379560.0,1886790.0,0.0,0.0,315204.0,613.0,174570.0,430.0,226001.0,338.0
2015-07-31,45.0,0.0,8568298.0,78367.0,9665795.0,23221.0,0.0,0.0,1315426.0,3444.0,7553935.0,2028203.0,0.0,7.0,418574.0,3425.0,281369.0,848.0,332947.0,330.0
2015-08-31,0.0,2.0,7937733.0,81056.0,7952955.0,35052.0,0.0,0.0,1411960.0,0.0,7991555.0,2131210.0,0.0,6.0,439600.0,0.0,236726.0,1007.0,229432.0,508.0
2015-09-30,45.0,0.0,8343076.0,65351.0,10133052.0,26780.0,0.0,0.0,1380690.0,0.0,10344702.0,1905815.0,1.0,0.0,404363.0,462.0,285366.0,220.0,319411.0,212.0
2015-10-31,89.0,0.0,11995800.0,61772.0,9254343.0,33095.0,0.0,0.0,1441709.0,0.0,10799756.0,1946567.0,0.0,0.0,459744.0,509.0,203736.0,417.0,203713.0,411.0
2015-11-30,0.0,0.0,12394577.0,52395.0,7086046.0,33123.0,0.0,0.0,1396260.0,0.0,11013063.0,1824715.0,0.0,0.0,441959.0,137.0,416659.0,262.0,675820.0,175.0
2015-12-31,0.0,0.0,10844740.0,72633.0,9784037.0,35597.0,0.0,0.0,1451287.0,0.0,10888162.0,1966452.0,0.0,0.0,417303.0,37.0,483582.0,51.0,524783.0,2531.0
2016-01-31,0.0,0.0,12818867.0,56691.0,11474966.0,31380.0,0.0,0.0,1455583.0,0.0,7576859.0,2058557.0,0.0,0.0,424618.0,184.0,406828.0,128.0,439157.0,1431.0
2016-02-29,765.0,0.0,10439040.0,48434.0,11957256.0,9122.0,0.0,0.0,1361800.0,0.0,6741899.0,2029433.0,0.0,17.0,372140.0,155.0,325436.0,218.0,471823.0,293.0
2016-03-31,135.0,0.0,10982602.0,78156.0,12837671.0,16814.0,0.0,0.0,1452895.0,0.0,6784026.0,2097287.0,0.0,3.0,389679.0,390.0,283209.0,306.0,373423.0,847.0
2016-04-30,45.0,0.0,8510849.0,64246.0,11694593.0,32586.0,0.0,0.0,1376590.0,0.0,6452485.0,1901858.0,0.0,1.0,409225.0,4477.0,265015.0,608.0,362301.0,941.0
2016-05-31,180.0,0.0,7668739.0,77972.0,12292556.0,25586.0,0.0,0.0,541771.0,4326.0,5814253.0,2007726.0,0.0,0.0,429052.0,242.0,277975.0,771.0,427440.0,644.0
2016-06-30,90.0,0.0,9127397.0,51650.0,11188511.0,16664.0,0.0,0.0,467077.0,8562.0,4905750.0,2106599.0,0.0,10.0,346452.0,1294.0,169284.0,1060.0,243822.0,933.0
2016-07-31,90.0,0.0,9742569.0,64972.0,8779373.0,44375.0,0.0,0.0,1372386.0,1342.0,5907695.0,2148117.0,0.0,2.0,489423.0,38.0,210733.0,918.0,358047.0,1223.0
2016-08-31,0.0,0.0,11599258.0,62692.0,9203977.0,41581.0,0.0,0.0,1401721.0,0.0,5811710.0,2174151.0,0.0,0.0,482168.0,763.0,253677.0,619.0,409042.0,574.0
2016-09-30,1260.0,0.0,12638395.0,58906.0,12495743.0,19946.0,0.0,0.0,1353825.0,0.0,6107841.0,2207494.0,0.0,29.0,420439.0,402.0,208870.0,947.0,300783.0,996.0
2016-10-31,854.0,0.0,14246746.0,57038.0,14279799.0,8944.0,0.0,0.0,1370187.0,2178.0,6459649.0,2351395.0,0.0,13.0,445309.0,63.0,261345.0,1362.0,335674.0,1168.0
2016-11-30,260.0,0.0,13618402.0,46507.0,13358430.0,10388.0,0.0,0.0,1395706.0,0.0,7893053.0,2136919.0,0.0,6.0,442279.0,9.0,350908.0,343.0,593327.0,356.0
2016-12-31,77.0,0.0,14496233.0,70966.0,13140531.0,10290.0,0.0,0.0,1448781.0,0.0,8448758.0,2207183.0,0.0,4.0,386754.0,1067.0,319487.0,384.0,691945.0,601.0
2017-01-31,1408.0,0.0,15482667.0,74502.0,12941292.0,14366.0,0.0,0.0,1451016.0,0.0,9248145.0,2085021.0,0.0,63.0,415295.0,1884.0,321049.0,921.0,560661.0,1595.0
2017-02-28,0.0,0.0,10988814.0,69283.0,13065630.0,3298.0,0.0,0.0,1310600.0,0.0,7987653.0,2053172.0,0.0,0.0,346792.0,11596.0,362107.0,422.0,802344.0,336.0
2017-03-31,379.0,0.0,12043374.0,72201.0,10888912.0,13172.0,0.0,0.0,1431123.0,0.0,7597323.0,2157389.0,0.0,15.0,372661.0,806.0,315436.0,538.0,676981.0,328.0
2017-04-30,0.0,0.0,11938729.0,74149.0,8608867.0,11056.0,0.0,0.0,1105432.0,3211.0,7505116.0,2004938.0,0.0,0.0,393386.0,10.0,210256.0,870.0,508523.0,653.0
2017-05-31,0.0,1.0,11457131.0,84320.0,9135218.0,23492.0,0.0,0.0,2.0,563.0,6098876.0,2303496.0,0.0,0.0,374062.0,1385.0,589452.0,2986.0,367372.0,640.0
2017-06-30,0.0,0.0,10377634.0,85177.0,10417086.0,17846.0,0.0,0.0,1.0,5951.0,5981559.0,2232244.0,0.0,0.0,365629.0,1033.0,854550.0,5512.0,520501.0,922.0
2017-07-31,77.0,0.0,12962051.0,65630.0,10124130.0,14558.0,0.0,0.0,698447.0,22413.0,6205333.0,2644584.0,0.0,0.0,409010.0,544.0,700266.0,4431.0,399319.0,976.0
2017-08-31,0.0,0.0,10473233.0,87118.0,8522271.0,26925.0,0.0,0.0,1344782.0,2010.0,4794290.0,2335988.0,0.0,0.0,410586.0,1241.0,760282.0,5932.0,377892.0,1420.0
2017-09-30,0.0,0.0,12848032.0,63390.0,7047950.0,32086.0,0.0,0.0,1367256.0,0.0,5773874.0,2379902.0,0.0,0.0,340892.0,3333.0,741133.0,4564.0,426308.0,1058.0
2017-10-31,63.0,0.0,13308474.0,61535.0,9400123.0,26551.0,0.0,0.0,1335807.0,3323.0,7509486.0,2401347.0,0.0,0.0,355774.0,269.0,1696075.0,732.0,992734.0,121.0
2017-11-30,0.0,0.0,15409481.0,70480.0,10818596.0,12885.0,0.0,0.0,1390516.0,0.0,7131014.0,2144607.0,0.0,0.0,309060.0,707.0,1298402.0,1859.0,707312.0,414.0
2017-12-31,131.0,0.0,15323082.0,62408.0,10618780.0,21092.0,0.0,0.0,1446904.0,0.0,7306504.0,2311176.0,0.0,0.0,345522.0,4164.0,1517192.0,1007.0,1000160.0,548.0
2018-01-31,0.0,0.0,12813689.0,61817.0,11350772.0,2098.0,0.0,0.0,1447257.0,0.0,7482935.0,2505571.0,0.0,0.0,300162.0,3545.0,1461870.0,1029.0,1024420.0,297.0
2018-02-28,0.0,0.0,13684707.0,59945.0,11005757.0,1724.0,0.0,0.0,1308302.0,0.0,6992441.0,1989745.0,0.0,0.0,257630.0,2881.0,1067962.0,2733.0,648379.0,297.0
2018-03-31,0.0,0.0,12692871.0,70097.0,10604401.0,22048.0,0.0,0.0,1446950.0,0.0,6838576.0,2240706.0,0.0,0.0,259738.0,5869.0,1140556.0,3465.0,790121.0,621.0
2018-04-30,0.0,0.0,8712795.0,76072.0,9535837.0,20438.0,0.0,0.0,1367008.0,0.0,5312069.0,2250899.0,0.0,0.0,316403.0,5204.0,1023688.0,2375.0,569361.0,592.0
2018-05-31,244.0,1.0,9070747.0,83627.0,7314782.0,21717.0,0.0,0.0,376154.0,2392.0,5577842.0,2294933.0,0.0,21.0,329159.0,2454.0,825210.0,3960.0,481352.0,634.0
2018-06-30,0.0,6.0,11645113.0,66073.0,5799468.0,22892.0,0.0,0.0,889331.0,14043.0,5851158.0,2375054.0,0.0,2.0,352383.0,3199.0,791696.0,3549.0,437334.0,445.0
2018-07-31,8.0,0.0,13348188.0,76341.0,7445099.0,34352.0,0.0,0.0,1391149.0,0.0,6529864.0,2714508.0,0.0,0.0,417816.0,1106.0,508922.0,6890.0,350165.0,1118.0
2018-08-31,0.0,0.0,13719606.0,74556.0,7964509.0,35686.0,0.0,0.0,160228.0,13357.0,7018587.0,2799070.0,0.0,0.0,416009.0,1213.0,843527.0,8013.0,464194.0,1294.0
2018-09-30,325.0,0.0,11581927.0,79706.0,9063003.0,31553.0,0.0,0.0,676285.0,11565.0,6423599.0,2509523.0,0.0,17.0,410603.0,720.0,1258031.0,2462.0,649036.0,993.0
2018-10-31,180.0,0.0,12070210.0,85403.0,12007706.0,8014.0,0.0,0.0,1420835.0,0.0,6258296.0,2565965.0,4980.0,0.0,742934.0,2048.0,1417979.0,2806.0,1006802.0,419.0
2018-11-30,0.0,0.0,15350939.0,44726.0,7861046.0,34482.0,0.0,0.0,1389410.0,0.0,6403684.0,2549406.0,2140.0,0.0,709699.0,3627.0,1531527.0,27.0,1120513.0,58.0
2018-12-31,0.0,0.0,14718853.0,61893.0,8845515.0,32262.0,0.0,0.0,1440854.0,0.0,6723152.0,2830172.0,938.0,0.0,684467.0,771.0,1591840.0,592.0,1398839.0,255.0
2019-01-31,35.0,0.0,16673418.0,51768.0,9715784.0,9608.0,0.0,0.0,1443283.0,0.0,9013886.0,2805102.0,3096.0,4.0,698744.0,173.0,1462718.0,1281.0,1448278.0,646.0
2019-02-28,547.0,0.0,15843451.0,45826.0,7981316.0,18553.0,0.0,0.0,990472.0,8088.0,7681016.0,2658261.0,9180.0,36.0,593486.0,1081.0,1184619.0,2389.0,1066858.0,614.0
2019-03-31,16.0,0.0,15223951.0,56713.0,6390392.0,36445.0,0.0,0.0,1437482.0,0.0,9275315.0,2745035.0,13829.0,0.0,641521.0,4950.0,1519369.0,2076.0,1358672.0,536.0
2019-04-30,0.0,0.0,11954936.0,59793.0,4873969.0,39851.0,0.0,0.0,1387489.0,0.0,8184565.0,2762745.0,28681.0,0.0,777262.0,578.0,1052963.0,2083.0,802587.0,331.0
2019-05-31,331.0,0.0,14956915.0,66698.0,4092046.0,30896.0,0.0,0.0,1292098.0,2561.0,8222026.0,2795581.0,29679.0,7.0,736831.0,4327.0,947678.0,2925.0,663855.0,632.0
2019-06-30,572.0,0.0,14750429.0,54222.0,3426765.0,35077.0,0.0,0.0,126082.0,13652.0,5833437.0,2815547.0,37588.0,12.0,599155.0,15732.0,673377.0,3459.0,644629.0,860.0
2019-07-31,31.0,0.0,18398094.0,836686.0,3872272.0,41236.0,0.0,0.0,1235653.0,5297.0,6740478.0,3129930.0,41561.0,0.0,764527.0,3755.0,827918.0,4397.0,535311.0,1129.0
2019-08-31,178.0,0.0,19520879.0,2649990.0,1969680.0,44284.0,0.0,0.0,1270654.0,3290.0,7788784.0,3061486.0,37794.0,4.0,667094.0,3849.0,1011101.0,2614.0,765084.0,950.0
2019-09-30,1570.0,0.0,20076553.0,4906251.0,1597953.0,62195.0,0.0,0.0,1346836.0,0.0,8033227.0,2541460.0,24627.0,16.0,531663.0,11323.0,1219713.0,1641.0,867206.0,874.0
2019-10-31,1585.0,0.0,21085683.0,5270109.0,5358368.0,49997.0,0.0,0.0,1416958.0,0.0,8306192.0,2706094.0,14532.0,15.0,736599.0,296.0,1394567.0,1047.0,1102122.0,357.0
2019-11-30,56311.0,0.0,19974407.0,4156604.0,8534364.0,22206.0,0.0,0.0,1389945.0,0.0,6788161.0,2753617.0,14420.0,808.0,999782.0,6889.0,1189654.0,1768.0,1452429.0,1024.0
2019-12-31,31911.0,0.0,16332463.0,2020064.0,7993227.0,19741.0,0.0,0.0,1440908.0,0.0,6651707.0,2779802.0,11386.0,1024.0,1112372.0,2173.0,1598387.0,790.0,2254401.0,565.0
2020-01-31,27869.0,130.0,24293074.0,4340058.0,3709817.0,57997.0,0.0,0.0,1442792.0,0.0,6657094.0,2753476.0,11114.0,252.0,1160267.0,2183.0,1623189.0,724.0,2256970.0,1030.0
2020-02-29,26891.0,0.0,17587759.0,3398494.0,3807731.0,35856.0,0.0,0.0,1320455.0,998.0,6660188.0,2393106.0,24348.0,110.0,1014774.0,1966.0,1645129.0,1245.0,2966571.0,362.0
2020-03-31,15382.0,977.0,15537651.0,2693437.0,4643359.0,17952.0,0.0,0.0,1438475.0,0.0,6764358.0,2374540.0,78160.0,211.0,919630.0,997.0,1439524.0,1361.0,2283026.0,397.0
2020-04-30,28014.0,1060.0,13400123.0,2021349.0,2345756.0,29186.0,0.0,0.0,1387191.0,0.0,6131840.0,2125731.0,120358.0,128.0,1130621.0,1758.0,858789.0,3436.0,1283485.0,21906.0
2020-05-31,26402.0,579.0,17081740.0,3151359.0,2822232.0,47787.0,0.0,0.0,1244837.0,2107.0,7080061.0,2302548.0,132549.0,100.0,1169541.0,653.0,814294.0,5080.0,1328951.0,45432.0
2020-06-30,29762.0,0.0,18349226.0,443956.0,2083112.0,41536.0,0.0,0.0,625379.0,10876.0,7160358.0,2277670.0,110667.0,113.0,1141133.0,789.0,984025.0,6286.0,1113876.0,64793.0
2020-07-31,48678.0,379.0,22489242.0,366859.0,3130869.0,38236.0,0.0,0.0,1215834.0,7123.0,7109190.0,2960872.0,104848.0,4.0,1113993.0,11146.0,1119040.0,6079.0,1258869.0,10529.0
2020-08-31,63494.0,0.0,23825138.0,92054.0,3449802.0,50113.0,0.0,0.0,1385086.0,0.0,6348265.0,3804415.0,102052.0,3.0,1155413.0,3977.0,1309776.0,5976.0,1110579.0,12729.0
2020-09-30,72781.0,0.0,18052553.0,913800.0,5822363.0,29011.0,0.0,0.0,1348787.0,0.0,5219723.0,3626867.0,77954.0,10.0,974770.0,5073.0,1758196.0,6917.0,1160862.0,4420.0
2020-10-31,73502.0,0.0,16455726.0,375166.0,5345483.0,34457.0,0.0,0.0,1416801.0,0.0,4834021.0,3814214.0,36916.0,174.0,1074242.0,5749.0,3618985.0,2581.0,2106061.0,1594.0
2020-11-30,77943.0,0.0,19055651.0,1126068.0,5314374.0,30531.0,0.0,0.0,1206911.0,6492.0,3493006.0,4649896.0,31684.0,1464.0,948164.0,3279.0,2916841.0,3522.0,1864044.0,1827.0
2020-12-31,61713.0,0.0,18573620.0,964877.0,6050368.0,26996.0,0.0,0.0,1429284.0,0.0,4208001.0,4519814.0,14560.0,1851.0,1122178.0,4286.0,3444545.0,3642.0,1851552.0,2400.0
2021-01-31,49423.0,0.0,17276269.0,618927.0,8148412.0,16901.0,0.0,0.0,1431311.0,0.0,4659974.0,4265036.0,25856.0,1764.0,1088527.0,3340.0,3439912.0,4939.0,1827729.0,2135.0
2021-02-28,45034.0,0.0,17376050.0,669669.0,5644313.0,28163.0,0.0,0.0,1284359.0,0.0,5143756.0,3692953.0,57786.0,541.0,896325.0,4960.0,3612576.0,3549.0,1747875.0,7444.0
2021-03-31,33663.0,0.0,17994546.0,148102.0,6308793.0,42901.0,0.0,0.0,1439092.0,0.0,6467663.0,3595676.0,108299.0,0.0,1149047.0,3130.0,2897358.0,7632.0,1644399.0,3782.0
2021-04-30,5465.0,879.0,13443391.0,225990.0,4586903.0,42636.0,0.0,0.0,1329726.0,0.0,6049572.0,3015959.0,166308.0,0.0,1067171.0,11590.0,2489698.0,4492.0,1389821.0,1689.0
2021-05-31,75441.0,1270.0,12591740.0,206096.0,3528818.0,43927.0,0.0,0.0,838796.0,1736.0,6476295.0,2987508.0,167705.0,0.0,1108712.0,5990.0,2055130.0,9797.0,1458541.0,2670.0
2021-06-30,51590.0,0.0,15872075.0,107015.0,2563766.0,49454.0,0.0,0.0,3.0,13345.0,5673859.0,3353966.0,195781.0,56.0,966690.0,12437.0,1248707.0,15845.0,756022.0,3632.0
2021-07-31,30675.0,0.0,12474544.0,164683.0,7418137.0,34222.0,0.0,0.0,1315916.0,1350.0,5197028.0,3744406.0,164636.0,0.0,1221734.0,3510.0,1779138.0,14977.0,1145509.0,7523.0
2021-08-31,26642.0,0.0,6412706.0,166037.0,7941034.0,36396.0,0.0,0.0,1401824.0,0.0,4525646.0,3684614.0,152338.0,0.0,1282760.0,2873.0,2494426.0,8193.0,1507343.0,3047.0
2021-09-30,32975.0,0.0,11770318.0,129850.0,7251546.0,32996.0,0.0,0.0,1356640.0,0.0,4503621.0,3892285.0,110334.0,0.0,1086973.0,3755.0,1582780.0,10826.0,1053831.0,8232.0
2021-10-31,77184.0,0.0,9354577.0,117858.0,9243011.0,21103.0,0.0,0.0,1257447.0,5098.0,4785370.0,3926029.0,67228.0,1341.0,981649.0,14851.0,3642765.0,5269.0,2331945.0,4296.0
2021-11-30,86658.0,55.0,17105418.0,144354.0,8884492.0,20344.0,0.0,0.0,1384874.0,0.0,4647541.0,4606959.0,29928.0,1852.0,1008851.0,3246.0,2901277.0,4052.0,1623986.0,12528.0
2021-12-31,90949.0,0.0,15105840.0,323454.0,10607900.0,4600.0,0.0,0.0,1433424.0,0.0,5351629.0,4339416.0,17052.0,2041.0,1094218.0,4396.0,3374521.0,15180.0,2467282.0,3378.0
2022-01-31,38207.0,165.0,15438840.0,897867.0,8288129.0,10413.0,0.0,0.0,1443515.0,0.0,6214082.0,4308655.0,22454.0,1971.0,1074839.0,9048.0,3308360.0,29081.0,2510702.0,3184.0
2022-02-28,41842.0,0.0,9080176.0,719606.0,4661062.0,33379.0,0.0,0.0,1303398.0,0.0,7287547.0,3164265.0,50628.0,1601.0,1015432.0,5206.0,4288063.0,37229.0,3265093.0,4599.0
2022-03-31,52437.0,850.0,13154956.0,606252.0,7853093.0,27097.0,0.0,0.0,1405558.0,0.0,7829446.0,3096984.0,147777.0,1483.0,1128317.0,2396.0,2150219.0,21753.0,1474016.0,13873.0
2022-04-30,12355.0,2320.0,9279654.0,644684.0,4731393.0,31123.0,0.0,0.0,411211.0,1050.0,7670015.0,2916801.0,160393.0,1193.0,1007298.0,6355.0,2693979.0,20051.0,1957534.0,2043.0
2022-05-31,54385.0,0.0,11625901.0,597086.0,2442783.0,58288.0,0.0,0.0,1424853.0,0.0,6279553.0,3345033.0,193645.0,1022.0,1131441.0,7682.0,1888269.0,29256.0,1376262.0,6142.0
2022-06-30,62012.0,0.0,12803414.0,547839.0,6708463.0,17770.0,0.0,0.0,1362466.0,0.0,6130558.0,3445070.0,201951.0,880.0,1204150.0,5044.0,1600855.0,21962.0,1040460.0,9058.0
2022-07-31,55448.0,131.0,11526942.0,625660.0,7556892.0,15702.0,0.0,0.0,1389986.0,0.0,5710522.0,3843196.0,194207.0,976.0,1259625.0,738.0,1600187.0,18363.0,1082297.0,4270.0
2022-08-31,42797.0,243.0,12837248.0,593772.0,7369105.0,13629.0,0.0,0.0,1380061.0,0.0,5300525.0,3930240.0,214211.0,1155.0,1316944.0,4447.0,1432245.0,20409.0,914010.0,4130.0
2022-09-30,41927.0,365.0,10293712.0,352751.0,8760404.0,21804.0,0.0,0.0,1352509.0,0.0,5091733.0,3871639.0,143852.0,1369.0,1197742.0,2192.0,2314513.0,28599.0,1173613.0,9778.0
2022-10-31,92482.0,162.0,13205165.0,518857.0,4931683.0,39852.0,0.0,0.0,1418824.0,0.0,6175884.0,3957049.0,88713.0,1670.0,1035497.0,11378.0,3049944.0,24109.0,1924597.0,2465.0
2022-11-30,60788.0,0.0,10042100.0,627235.0,6029719.0,35169.0,0.0,0.0,1386729.0,0.0,6291895.0,4010086.0,38229.0,1805.0,970639.0,13985.0,3919063.0,7394.0,2500249.0,2003.0
2022-12-31,81077.0,99.0,15740719.0,416824.0,7910126.0,19701.0,0.0,0.0,1443760.0,0.0,6872993.0,4054527.0,29468.0,2054.0,1100007.0,10558.0,3407062.0,19992.0,2478781.0,8238.0
2023-01-31,133604.0,0.0,10328790.0,94450.0,6672587.0,31062.0,0.0,0.0,1446474.0,0.0,7079841.0,3970835.0,41719.0,1997.0,1047969.0,4518.0,4105719.0,36071.0,3705192.0,2514.0
2023-02-28,58365.0,825.0,11424575.0,89766.0,7024845.0,23792.0,0.0,0.0,1305330.0,0.0,7296802.0,3178442.0,76813.0,1684.0,1039169.0,5094.0,2594169.0,24693.0,2353509.0,6667.0
2023-03-31,32736.0,0.0,10100854.0,67187.0,6059319.0,31108.0,0.0,0.0,1383488.0,0.0,4738185.0,1853360.0,120495.0,734.0,604472.0,9774.0,3646464.0,29458.0,1997828.0,1592.0
2023-04-30,0.0,0.0,3987894.0,38885.0,3443806.0,16423.0,0.0,0.0,2676.0,3220.0,754596.0,339625.0,73741.0,8.0,106674.0,23557.0,1119828.0,11378.0,527250.0,611.0
